member_id,host_id,host_status,background_model,AQ_case_id,replicate,age_h,temperature_K,matrix_xAg,kappa_upper_W_mK,dynamic_density_stiffness_interface_strain_damping_rates,upper_bound_identity
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,B,48.0,323.15,0.006474212975184828,1.1664837588479964,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,C,48.0,323.15,0.00621465105518336,1.169065087954166,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,A,6.0,373.15,0.006203008315588036,1.0922010364234565,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,B,6.0,373.15,0.0062032544917148096,1.0921988814592238,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,C,6.0,373.15,0.006202917319236994,1.0922018329865337,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,A,48.0,373.15,0.006300821530907528,1.0913459787235125,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,B,48.0,373.15,0.006474212975184828,1.0898359981138317,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,C,48.0,373.15,0.00621465105518336,1.0920991351498497,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,A,6.0,423.15,0.006203008315588036,1.0245112635113274,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,B,6.0,423.15,0.0062032544917148096,1.0245093599725472,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,C,6.0,423.15,0.006202917319236994,1.024511967137063,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,A,48.0,423.15,0.006300821530907528,1.02375590810215,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,B,48.0,423.15,0.006474212975184828,1.022421704326074,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,C,48.0,423.15,0.00621465105518336,1.0244212505016925,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,A,6.0,473.15,0.006203008315588036,0.9646067216947047,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,B,6.0,473.15,0.0062032544917148096,0.964605028401765,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,C,6.0,473.15,0.006202917319236994,0.964607347604832,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,A,48.0,473.15,0.006300821530907528,0.963934747997242,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,B,48.0,473.15,0.006474212975184828,0.96274759211244,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,C,48.0,473.15,0.00621465105518336,0.964526649961944,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,A,6.0,523.15,0.006203008315588036,0.9112569772375423,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,B,6.0,523.15,0.0062032544917148096,0.9112554613956633,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,C,6.0,523.15,0.006202917319236994,0.9112575375543982,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,A,48.0,523.15,0.006300821530907528,0.9106553859995227,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,B,48.0,523.15,0.006474212975184828,0.9095923867577063,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,C,48.0,523.15,0.00621465105518336,0.9111852962073066,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,A,6.0,573.15,0.006203008315588036,0.8634628145272707,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,B,6.0,573.15,0.0062032544917148096,0.8634614497532689,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,C,6.0,573.15,0.006202917319236994,0.8634633190031908,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,A,48.0,573.15,0.006300821530907528,0.8629211466472225,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,B,48.0,573.15,0.006474212975184828,0.8619638796363679,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,C,48.0,573.15,0.00621465105518336,0.8633982767547435,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,A,6.0,303.15,0.006203008315588036,1.203901343208371,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,B,6.0,303.15,0.0062032544917148096,1.2038987415927132,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,C,6.0,303.15,0.006202917319236994,1.2039023048725452,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,A,48.0,303.15,0.006300821530907528,1.2028691939145637,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,B,48.0,303.15,0.006474212975184828,1.2010471304383727,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,C,48.0,303.15,0.00621465105518336,1.2037783230918813,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,A,6.0,323.15,0.006203008315588036,1.170063033439915,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,B,6.0,323.15,0.0062032544917148096,1.17006057128081,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,C,6.0,323.15,0.006202917319236994,1.1700639435550872,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,A,48.0,323.15,0.006300821530907528,1.1690861732993365,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,B,48.0,323.15,0.006474212975184828,1.1673615266211175,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,C,48.0,323.15,0.00621465105518336,1.1699466071423925,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,A,6.0,373.15,0.006203008315588036,1.0929690872972309,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,B,6.0,373.15,0.0062032544917148096,1.092966929399631,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,C,6.0,373.15,0.006202917319236994,1.0929698849446032,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,A,48.0,373.15,0.006300821530907528,1.092112866437329,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,B,48.0,373.15,0.006474212975184828,1.0906008354563275,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,C,48.0,373.15,0.00621465105518336,1.092867047324736,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,A,6.0,423.15,0.006203008315588036,1.0251861981334933,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,B,6.0,423.15,0.0062032544917148096,1.0251842921621048,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,C,6.0,423.15,0.006202917319236994,1.0251869026584226,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,A,48.0,423.15,0.006300821530907528,1.024429878018735,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,B,48.0,423.15,0.006474212975184828,1.023093973161382,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,C,48.0,423.15,0.00621465105518336,1.025096070100892,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,A,6.0,473.15,0.006203008315588036,0.9652044515694257,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,B,6.0,473.15,0.0062032544917148096,0.9652027562372281,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,C,6.0,473.15,0.006202917319236994,0.9652050782333474,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,A,48.0,473.15,0.006300821530907528,0.9645316690760402,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,B,48.0,473.15,0.006474212975184828,0.9633430866250239,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,C,48.0,473.15,0.00621465105518336,0.9651242834116773,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,A,6.0,523.15,0.006203008315588036,0.9117900069543022,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,B,6.0,523.15,0.0062032544917148096,0.911788489386267,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,C,6.0,523.15,0.006202917319236994,0.9117905679092171,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,A,48.0,523.15,0.006300821530907528,0.9111877310376426,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,B,48.0,523.15,0.006474212975184828,0.9101235238426009,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,C,48.0,523.15,0.00621465105518336,0.9117182443030063,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,A,6.0,573.15,0.006203008315588036,0.8639410975988464,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,B,6.0,573.15,0.0062032544917148096,0.8639397313509298,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,C,6.0,573.15,0.006202917319236994,0.8639416026195864,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,A,48.0,573.15,0.006300821530907528,0.863398845043091,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,B,48.0,573.15,0.006474212975184828,0.8624405462735133,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,C,48.0,573.15,0.00621465105518336,0.8638764901317882,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__single_APT_37to6_prolate_AR10__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__single_APT_37to6_prolate_AR10,A,6.0,303.15,0.006203008315588036,1.2054568232869012,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__single_APT_37to6_prolate_AR10__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__single_APT_37to6_prolate_AR10,B,6.0,303.15,0.0062032544917148096,1.2054542151860514,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
