member_id,host_id,background_model,AQ_case_id,test_spectrum,omega_exponent,frozen_6h_amplitude,amplitude_unit,required_48h_to_6h_rate_scale,kappa_6h_closure_W_mK,kappa_48h_closure_W_mK,r_is_fit_parameter,use
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR2,D0,0,10374105663.839712,s^-1,0.14951376198795033,0.8500000000000038,1.03,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR2,D2,2,7.728902972352702e-16,s,0.2861683942894009,0.8500000000000084,1.0300000000000051,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR2,D4,4,2.457077452806305e-41,s^3,0.28144886257539964,0.8499999999999514,1.0300000000000016,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,B2_omega2,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D0,0,37984251525.95927,s^-1,0.17630404431090882,0.85,1.03,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,B2_omega2,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D2,2,9.91068573507411e-16,s,0.31336565601313654,0.8499999999994227,1.0300000000000382,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,B2_omega2,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D4,4,1.2895523007101513e-41,s^3,0.25642437967920984,0.8499999999999995,1.03,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D0,0,36872202187.88857,s^-1,0.3341526019676057,0.85,1.0299999999999996,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D2,2,1.2666519651784944e-15,s,0.4941675312535033,0.8499999999997089,1.0300000000001461,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D4,4,3.2766461061173486e-41,s^3,0.46117592767874527,0.8500000000000005,1.030000000000015,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_110,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D0,0,14262836255.560854,s^-1,0.1776050340210156,0.8500000000000001,1.03,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_110,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D2,2,1.1920427963981647e-15,s,0.34668655999460574,0.8499999999999993,1.0300000000000065,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_110,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D4,4,3.880739227786401e-41,s^3,0.32783929205653445,0.84999999999998,1.0300000000000005,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_110,B4_omega4,central__single_APT_37to6_prolate_AR2,D0,0,6481022779.525958,s^-1,0.06423228527234699,0.8500000000000002,1.0299999999999745,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_110,B4_omega4,central__single_APT_37to6_prolate_AR2,D2,2,8.404038599360264e-16,s,0.15207711468317409,0.850000000000006,1.0300000000000427,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_110,B4_omega4,central__single_APT_37to6_prolate_AR2,D4,4,3.0551948043270897e-41,s^3,0.14621469537784126,0.8500000000000006,1.0299999999999965,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D0,0,13167889932.5958,s^-1,0.14168985029812872,0.8500000000000014,1.03,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D2,2,1.1728520473866075e-15,s,0.2942606032839821,0.8499999999999991,1.0299999999999143,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D4,4,3.7102190782868186e-41,s^3,0.28961374279417684,0.8500000000000014,1.03000000000005,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,central__single_APT_37to6_prolate_AR2,D0,0,5870306724.062868,s^-1,0.032045629909642576,0.8500000000000002,1.0300000000000065,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,central__single_APT_37to6_prolate_AR2,D2,2,8.105792002959736e-16,s,0.08223187606782634,0.8500000000003997,1.030000000000019,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,central__single_APT_37to6_prolate_AR2,D4,4,2.8735098293673703e-41,s^3,0.08276331004679596,0.8500000000000237,1.0300000000000082,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__central__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,central__single_APT_37to6_large_Lover2_sphere_bound,D0,0,23217083671.800503,s^-1,0.21994390863927096,0.8500000000004334,1.0300000000000125,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__central__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,central__single_APT_37to6_large_Lover2_sphere_bound,D2,2,1.4828727305749966e-15,s,0.4015073387692346,0.8500000000000011,1.0300000000000002,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__central__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,central__single_APT_37to6_large_Lover2_sphere_bound,D4,4,4.305169472527281e-41,s^3,0.38778515892196763,0.8500000000000009,1.03,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__upper_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR2,D0,0,9186515986.338463,s^-1,0.09276453450253445,0.8499999999999998,1.0300000000000062,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__upper_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR2,D2,2,1.0002753012171775e-15,s,0.21051372398759596,0.8499999999999757,1.0299999999999823,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__upper_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR2,D4,4,3.333795491964639e-41,s^3,0.20940302103306588,0.8499999999998114,1.029999999999983,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D0,0,33109904921.010048,s^-1,0.2706512912133596,0.8499999999990112,1.0300000000000002,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D2,2,1.7015181361407085e-15,s,0.4574532902524204,0.8499999999999998,1.03,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_ANGULAR_MEAN__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D4,4,4.673917189597916e-41,s^3,0.4360857204955157,0.85,1.0299999999998535,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
