member_id,host_id,background_model,AQ_case_id,Ag2Te_density_kg_m3,Ag2Te_bulk_modulus_GPa,Ag2Te_shear_control_temperature_K,Ag2Te_shear_modulus_GPa,anisotropy_identity,damping_identity,interface_transmission_identity,mean_polarization_conversion_fraction,kernel_structure_rate_ratio_48_6,frozen_6h_global_rate_scale,kappa_6h_W_mK,kappa_48h_W_mK,recovery_percent,endpoint_relative_error_percent,numerical_feasibility_gate,material_authority_gate,material_status
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,central__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,497.225,5.7772836538855,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5905527971896084,17.52248031196129,2.2467894483171778,0.8500000000000788,0.9808121029687437,15.389659172793374,4.775523983617123,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,central__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,573.15,5.196511792000001,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5908332565965333,17.517229564803756,2.244188504092367,0.8500000000000747,0.9809886557339782,15.41043008635038,4.758382938448721,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR2,8200.0,18.9,421.3,6.3580555157709995,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5902652338826876,17.52750145115474,0.9141438586189139,0.85,0.9444502650185412,11.111795884534265,8.305799512762988,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR2,8200.0,18.9,497.225,5.7772836538855,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5905527971896084,17.52248031196129,0.9122470286552703,0.85,0.9446271064058213,11.132600753626033,8.288630446036773,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR2,8200.0,18.9,573.15,5.196511792000001,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5908332565965333,17.517229564803756,0.9105454252616523,0.85,0.944789722165809,11.151732019506948,8.272842508173884,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,B2_omega2,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,421.3,6.3580555157709995,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5902652338826876,17.52750145115474,3.4202339302714213,0.85,0.9603351208858752,12.980602457161798,6.763580496516969,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,B2_omega2,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,497.225,5.7772836538855,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5905527971896084,17.52248031196129,3.416344317528834,0.85,0.960473921651746,12.99693195902895,6.750104694005239,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,B2_omega2,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,573.15,5.196511792000001,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5908332565965333,17.517229564803756,3.413044039887644,0.8500000000000001,0.9605962256508335,13.011320664803941,6.738230519336559,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,421.3,6.3580555157709995,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5902652338826876,17.52750145115474,3.2184512916489667,0.85,1.0009407193718356,17.757731690804192,2.8212893813751876,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,497.225,5.7772836538855,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5905527971896084,17.52248031196129,3.215407381227106,0.85,1.0011289686457208,17.779878664202446,2.8030127528426467,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,573.15,5.196511792000001,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5908332565965333,17.517229564803756,3.2128468443212324,0.85,1.001294744366528,17.79938169017978,2.786918022667177,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_110,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,421.3,6.3580555157709995,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5218512870001062,17.547189494590377,1.5170731039240575,0.8499999999999993,0.9556271137202991,12.426719261211657,7.220668570844753,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_110,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,497.225,5.7772836538855,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5240736822760682,17.540102098927626,1.5148423829622928,0.8499999999999992,0.9557734134892955,12.443930998740644,7.206464709777142,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_110,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,573.15,5.196511792000001,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5262146748063533,17.53254170792391,1.5128925536922158,0.8499999999999993,0.95590981769444,12.459978552287057,7.193221583064085,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_110,B4_omega4,central__single_APT_37to6_prolate_AR2,8200.0,18.9,421.3,6.3580555157709995,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5218512870001062,17.547189494590377,0.7067112965466478,0.8500000000000023,0.928962557791363,9.289712681336832,9.809460408605531,False,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_110,B4_omega4,central__single_APT_37to6_prolate_AR2,8200.0,18.9,497.225,5.7772836538855,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5240736822760682,17.540102098927626,0.7051057307555337,0.8500000000000026,0.9291119438858146,9.307287515978196,9.794956904289844,False,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_110,B4_omega4,central__single_APT_37to6_prolate_AR2,8200.0,18.9,573.15,5.196511792000001,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5262146748063533,17.53254170792391,0.7036399822447016,0.8500000000000031,0.9292547560383243,9.324088945685215,9.781091646764633,False,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
