contract_hash,temperature_K,xB,radius_m,G_alpha_J_mol,mu_A_J_mol,mu_B_J_mol,dGdx_J_mol,d2Gdx2_J_mol,driving_force_beta_J_mol,D_alpha_m2_s,planar_solvus_xB,curvature_equilibrium_xB,Vm_alpha_m3_mol,Vm_beta_m3_mol,convex_extrapolation_enabled,python_G_alpha_J_mol,relative_error_G_alpha_J_mol,python_mu_A_J_mol,relative_error_mu_A_J_mol,python_mu_B_J_mol,relative_error_mu_B_J_mol,python_dGdx_J_mol,relative_error_dGdx_J_mol,python_d2Gdx2_J_mol,relative_error_d2Gdx2_J_mol,python_driving_force_beta_J_mol,relative_error_driving_force_beta_J_mol,python_D_alpha_m2_s,relative_error_D_alpha_m2_s,python_planar_solvus_xB,absolute_error_planar_solvus_xB,python_curvature_equilibrium_xB,relative_error_curvature_equilibrium_xB,relative_error_Vm_alpha_m3_mol,relative_error_Vm_beta_m3_mol,maximum_relative_error,row_status
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,1.0000000000000001e-05,2.0000000000000001e-09,-152671.37913693511,-152671.02380068644,-188204.64866538614,-35533.624864699697,543005674.38416994,-33081.498177670728,8.0732559548039631e-18,0.004649261005504824,0.016532975204293306,4.1009e-05,4.1009e-05,0,-152671.3791369351,0.0,-152671.02380068644,0.0,-188204.64866538614,0.0,-35533.6248646997,0.0,543005674.3841699,0.0,-33081.49817767073,0.0,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.016532975204293306,0.0,0.0,0.0,0.0,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,1.0000000000000001e-05,5.0000000000000001e-09,-152671.37913693511,-152671.02380068644,-188204.64866538614,-35533.624864699697,543005674.38416994,-33081.498177670728,8.0732559548039631e-18,0.004649261005504824,0.0077227284176431162,4.1009e-05,4.1009e-05,0,-152671.3791369351,0.0,-152671.02380068644,0.0,-188204.64866538614,0.0,-35533.6248646997,0.0,543005674.3841699,0.0,-33081.49817767073,0.0,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.007722728417643116,0.0,0.0,0.0,0.0,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,1.0000000000000001e-05,1e-08,-152671.37913693511,-152671.02380068644,-188204.64866538614,-35533.624864699697,543005674.38416994,-33081.498177670728,8.0732559548039631e-18,0.004649261005504824,0.0059920764421235572,4.1009e-05,4.1009e-05,0,-152671.3791369351,0.0,-152671.02380068644,0.0,-188204.64866538614,0.0,-35533.6248646997,0.0,543005674.3841699,0.0,-33081.49817767073,0.0,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005992076442123557,0.0,0.0,0.0,0.0,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,1.0000000000000001e-05,2e-08,-152671.37913693511,-152671.02380068644,-188204.64866538614,-35533.624864699697,543005674.38416994,-33081.498177670728,8.0732559548039631e-18,0.004649261005504824,0.005278136730359412,4.1009e-05,4.1009e-05,0,-152671.3791369351,0.0,-152671.02380068644,0.0,-188204.64866538614,0.0,-35533.6248646997,0.0,543005674.3841699,0.0,-33081.49817767073,0.0,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005278136730359412,0.0,0.0,0.0,0.0,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,1.0000000000000001e-05,5.0000000000000004e-08,-152671.37913693511,-152671.02380068644,-188204.64866538614,-35533.624864699697,543005674.38416994,-33081.498177670728,8.0732559548039631e-18,0.004649261005504824,0.0048912809758695618,4.1009e-05,4.1009e-05,0,-152671.3791369351,0.0,-152671.02380068644,0.0,-188204.64866538614,0.0,-35533.6248646997,0.0,543005674.3841699,0.0,-33081.49817767073,0.0,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.004891280975869562,0.0,0.0,0.0,0.0,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,3.0000000000000001e-05,2.0000000000000001e-09,-152672.0194485191,-152671.13239113105,-182239.71199323234,-29568.579602101294,180966257.22300026,-27116.561505516926,8.0732559548039631e-18,0.004649261005504824,0.016532975204293306,4.1009e-05,4.1009e-05,0,-152672.01944851907,1.9062976020008365e-16,-152671.13239113105,0.0,-182239.7119932323,1.5970081459421152e-16,-29568.579602101265,9.842823310547333e-16,180966257.22300026,0.0,-27116.561505516922,1.3416077131872187e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.016532975204293306,0.0,0.0,0.0,9.842823310547333e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,3.0000000000000001e-05,5.0000000000000001e-09,-152672.0194485191,-152671.13239113105,-182239.71199323234,-29568.579602101294,180966257.22300026,-27116.561505516926,8.0732559548039631e-18,0.004649261005504824,0.0077227284176431162,4.1009e-05,4.1009e-05,0,-152672.01944851907,1.9062976020008365e-16,-152671.13239113105,0.0,-182239.7119932323,1.5970081459421152e-16,-29568.579602101265,9.842823310547333e-16,180966257.22300026,0.0,-27116.561505516922,1.3416077131872187e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.007722728417643116,0.0,0.0,0.0,9.842823310547333e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,3.0000000000000001e-05,1e-08,-152672.0194485191,-152671.13239113105,-182239.71199323234,-29568.579602101294,180966257.22300026,-27116.561505516926,8.0732559548039631e-18,0.004649261005504824,0.0059920764421235572,4.1009e-05,4.1009e-05,0,-152672.01944851907,1.9062976020008365e-16,-152671.13239113105,0.0,-182239.7119932323,1.5970081459421152e-16,-29568.579602101265,9.842823310547333e-16,180966257.22300026,0.0,-27116.561505516922,1.3416077131872187e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005992076442123557,0.0,0.0,0.0,9.842823310547333e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,3.0000000000000001e-05,2e-08,-152672.0194485191,-152671.13239113105,-182239.71199323234,-29568.579602101294,180966257.22300026,-27116.561505516926,8.0732559548039631e-18,0.004649261005504824,0.005278136730359412,4.1009e-05,4.1009e-05,0,-152672.01944851907,1.9062976020008365e-16,-152671.13239113105,0.0,-182239.7119932323,1.5970081459421152e-16,-29568.579602101265,9.842823310547333e-16,180966257.22300026,0.0,-27116.561505516922,1.3416077131872187e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005278136730359412,0.0,0.0,0.0,9.842823310547333e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,3.0000000000000001e-05,5.0000000000000004e-08,-152672.0194485191,-152671.13239113105,-182239.71199323234,-29568.579602101294,180966257.22300026,-27116.561505516926,8.0732559548039631e-18,0.004649261005504824,0.0048912809758695618,4.1009e-05,4.1009e-05,0,-152672.01944851907,1.9062976020008365e-16,-152671.13239113105,0.0,-182239.7119932323,1.5970081459421152e-16,-29568.579602101265,9.842823310547333e-16,180966257.22300026,0.0,-27116.561505516922,1.3416077131872187e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.004891280975869562,0.0,0.0,0.0,9.842823310547333e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.0001,2.0000000000000001e-09,-152673.81569301631,-152671.51228931628,-175705.5492896412,-23034.037000324926,54252461.558766015,-20582.398801925792,8.0732559548039631e-18,0.004649261005504824,0.016532975204293306,4.1009e-05,4.1009e-05,0,-152673.8156930163,0.0,-152671.51228931628,0.0,-175705.54928964117,1.6563979097073136e-16,-23034.037000324897,1.2635140968264987e-15,54252461.558766015,0.0,-20582.398801925785,3.535038692138572e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.016532975204293306,0.0,0.0,0.0,1.2635140968264987e-15,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.0001,5.0000000000000001e-09,-152673.81569301631,-152671.51228931628,-175705.5492896412,-23034.037000324926,54252461.558766015,-20582.398801925792,8.0732559548039631e-18,0.004649261005504824,0.0077227284176431162,4.1009e-05,4.1009e-05,0,-152673.8156930163,0.0,-152671.51228931628,0.0,-175705.54928964117,1.6563979097073136e-16,-23034.037000324897,1.2635140968264987e-15,54252461.558766015,0.0,-20582.398801925785,3.535038692138572e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.007722728417643116,0.0,0.0,0.0,1.2635140968264987e-15,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.0001,1e-08,-152673.81569301631,-152671.51228931628,-175705.5492896412,-23034.037000324926,54252461.558766015,-20582.398801925792,8.0732559548039631e-18,0.004649261005504824,0.0059920764421235572,4.1009e-05,4.1009e-05,0,-152673.8156930163,0.0,-152671.51228931628,0.0,-175705.54928964117,1.6563979097073136e-16,-23034.037000324897,1.2635140968264987e-15,54252461.558766015,0.0,-20582.398801925785,3.535038692138572e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005992076442123557,0.0,0.0,0.0,1.2635140968264987e-15,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.0001,2e-08,-152673.81569301631,-152671.51228931628,-175705.5492896412,-23034.037000324926,54252461.558766015,-20582.398801925792,8.0732559548039631e-18,0.004649261005504824,0.005278136730359412,4.1009e-05,4.1009e-05,0,-152673.8156930163,0.0,-152671.51228931628,0.0,-175705.54928964117,1.6563979097073136e-16,-23034.037000324897,1.2635140968264987e-15,54252461.558766015,0.0,-20582.398801925785,3.535038692138572e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005278136730359412,0.0,0.0,0.0,1.2635140968264987e-15,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.0001,5.0000000000000004e-08,-152673.81569301631,-152671.51228931628,-175705.5492896412,-23034.037000324926,54252461.558766015,-20582.398801925792,8.0732559548039631e-18,0.004649261005504824,0.0048912809758695618,4.1009e-05,4.1009e-05,0,-152673.8156930163,0.0,-152671.51228931628,0.0,-175705.54928964117,1.6563979097073136e-16,-23034.037000324897,1.2635140968264987e-15,54252461.558766015,0.0,-20582.398801925785,3.535038692138572e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.004891280975869562,0.0,0.0,0.0,1.2635140968264987e-15,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.00029999999999999997,2.0000000000000001e-09,-152677.719853394,-152672.59626955216,-169751.209075647,-17078.612806094839,18048520.918340281,-14628.058587931597,8.0732559548039631e-18,0.004649261005504824,0.016532975204293306,4.1009e-05,4.1009e-05,0,-152677.719853394,0.0,-152672.59626955216,0.0,-169751.20907564703,1.7144991552763568e-16,-17078.61280609487,1.7041097416499413e-15,18048520.91834028,0.0,-14628.058587931595,1.2434933813066312e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.016532975204293306,0.0,0.0,0.0,1.7041097416499413e-15,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.00029999999999999997,5.0000000000000001e-09,-152677.719853394,-152672.59626955216,-169751.209075647,-17078.612806094839,18048520.918340281,-14628.058587931597,8.0732559548039631e-18,0.004649261005504824,0.0077227284176431162,4.1009e-05,4.1009e-05,0,-152677.719853394,0.0,-152672.59626955216,0.0,-169751.20907564703,1.7144991552763568e-16,-17078.61280609487,1.7041097416499413e-15,18048520.91834028,0.0,-14628.058587931595,1.2434933813066312e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.007722728417643116,0.0,0.0,0.0,1.7041097416499413e-15,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.00029999999999999997,1e-08,-152677.719853394,-152672.59626955216,-169751.209075647,-17078.612806094839,18048520.918340281,-14628.058587931597,8.0732559548039631e-18,0.004649261005504824,0.0059920764421235572,4.1009e-05,4.1009e-05,0,-152677.719853394,0.0,-152672.59626955216,0.0,-169751.20907564703,1.7144991552763568e-16,-17078.61280609487,1.7041097416499413e-15,18048520.91834028,0.0,-14628.058587931595,1.2434933813066312e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005992076442123557,0.0,0.0,0.0,1.7041097416499413e-15,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.00029999999999999997,2e-08,-152677.719853394,-152672.59626955216,-169751.209075647,-17078.612806094839,18048520.918340281,-14628.058587931597,8.0732559548039631e-18,0.004649261005504824,0.005278136730359412,4.1009e-05,4.1009e-05,0,-152677.719853394,0.0,-152672.59626955216,0.0,-169751.20907564703,1.7144991552763568e-16,-17078.61280609487,1.7041097416499413e-15,18048520.91834028,0.0,-14628.058587931595,1.2434933813066312e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005278136730359412,0.0,0.0,0.0,1.7041097416499413e-15,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.00029999999999999997,5.0000000000000004e-08,-152677.719853394,-152672.59626955216,-169751.209075647,-17078.612806094839,18048520.918340281,-14628.058587931597,8.0732559548039631e-18,0.004649261005504824,0.0048912809758695618,4.1009e-05,4.1009e-05,0,-152677.719853394,0.0,-152672.59626955216,0.0,-169751.20907564703,1.7144991552763568e-16,-17078.61280609487,1.7041097416499413e-15,18048520.91834028,0.0,-14628.058587931595,1.2434933813066312e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.004891280975869562,0.0,0.0,0.0,1.7041097416499413e-15,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.001,2.0000000000000001e-09,-152686.95110697814,-152676.37336472963,-163254.115613211,-10577.742248481372,5377145.1202587793,-8130.965125495597,8.0732559548039631e-18,0.004649261005504824,0.016532975204293306,4.1009e-05,4.1009e-05,0,-152686.95110697814,0.0,-152676.37336472963,0.0,-163254.115613211,0.0,-10577.742248481372,0.0,5377145.120258779,0.0,-8130.96512549559,8.948455074993257e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.016532975204293306,0.0,0.0,0.0,8.948455074993257e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.001,5.0000000000000001e-09,-152686.95110697814,-152676.37336472963,-163254.115613211,-10577.742248481372,5377145.1202587793,-8130.965125495597,8.0732559548039631e-18,0.004649261005504824,0.0077227284176431162,4.1009e-05,4.1009e-05,0,-152686.95110697814,0.0,-152676.37336472963,0.0,-163254.115613211,0.0,-10577.742248481372,0.0,5377145.120258779,0.0,-8130.96512549559,8.948455074993257e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.007722728417643116,0.0,0.0,0.0,8.948455074993257e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.001,1e-08,-152686.95110697814,-152676.37336472963,-163254.115613211,-10577.742248481372,5377145.1202587793,-8130.965125495597,8.0732559548039631e-18,0.004649261005504824,0.0059920764421235572,4.1009e-05,4.1009e-05,0,-152686.95110697814,0.0,-152676.37336472963,0.0,-163254.115613211,0.0,-10577.742248481372,0.0,5377145.120258779,0.0,-8130.96512549559,8.948455074993257e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005992076442123557,0.0,0.0,0.0,8.948455074993257e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.001,2e-08,-152686.95110697814,-152676.37336472963,-163254.115613211,-10577.742248481372,5377145.1202587793,-8130.965125495597,8.0732559548039631e-18,0.004649261005504824,0.005278136730359412,4.1009e-05,4.1009e-05,0,-152686.95110697814,0.0,-152676.37336472963,0.0,-163254.115613211,0.0,-10577.742248481372,0.0,5377145.120258779,0.0,-8130.96512549559,8.948455074993257e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005278136730359412,0.0,0.0,0.0,8.948455074993257e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.001,5.0000000000000004e-08,-152686.95110697814,-152676.37336472963,-163254.115613211,-10577.742248481372,5377145.1202587793,-8130.965125495597,8.0732559548039631e-18,0.004649261005504824,0.0048912809758695618,4.1009e-05,4.1009e-05,0,-152686.95110697814,0.0,-152676.37336472963,0.0,-163254.115613211,0.0,-10577.742248481372,0.0,5377145.120258779,0.0,-8130.96512549559,8.948455074993257e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.004891280975869562,0.0,0.0,0.0,8.948455074993257e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.002,2.0000000000000001e-09,-152695.45776460768,-152681.72379131822,-159548.71043605445,-6866.9866447362292,2661854.9376565148,-4425.5599483390624,8.0732559548039631e-18,0.004649261005504824,0.016532975204293306,4.1009e-05,4.1009e-05,0,-152695.4577646077,1.9060049907705566e-16,-152681.72379131822,0.0,-159548.71043605448,1.8241344838946992e-16,-6866.986644736258,4.238224415223324e-15,2661854.937656515,0.0,-4425.5599483390615,2.0550952023918842e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.016532975204293306,0.0,0.0,0.0,4.238224415223324e-15,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.002,5.0000000000000001e-09,-152695.45776460768,-152681.72379131822,-159548.71043605445,-6866.9866447362292,2661854.9376565148,-4425.5599483390624,8.0732559548039631e-18,0.004649261005504824,0.0077227284176431162,4.1009e-05,4.1009e-05,0,-152695.4577646077,1.9060049907705566e-16,-152681.72379131822,0.0,-159548.71043605448,1.8241344838946992e-16,-6866.986644736258,4.238224415223324e-15,2661854.937656515,0.0,-4425.5599483390615,2.0550952023918842e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.007722728417643116,0.0,0.0,0.0,4.238224415223324e-15,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.002,1e-08,-152695.45776460768,-152681.72379131822,-159548.71043605445,-6866.9866447362292,2661854.9376565148,-4425.5599483390624,8.0732559548039631e-18,0.004649261005504824,0.0059920764421235572,4.1009e-05,4.1009e-05,0,-152695.4577646077,1.9060049907705566e-16,-152681.72379131822,0.0,-159548.71043605448,1.8241344838946992e-16,-6866.986644736258,4.238224415223324e-15,2661854.937656515,0.0,-4425.5599483390615,2.0550952023918842e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005992076442123557,0.0,0.0,0.0,4.238224415223324e-15,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,0.002,2e-08,-152695.45776460768,-152681.72379131822,-159548.71043605445,-6866.9866447362292,2661854.9376565148,-4425.5599483390624,8.0732559548039631e-18,0.004649261005504824,0.005278136730359412,4.1009e-05,4.1009e-05,0,-152695.4577646077,1.9060049907705566e-16,-152681.72379131822,0.0,-159548.71043605448,1.8241344838946992e-16,-6866.986644736258,4.238224415223324e-15,2661854.937656515,0.0,-4425.5599483390615,2.0550952023918842e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005278136730359412,0.0,0.0,0.0,4.238224415223324e-15,PASS
