name,dtype,bytes_per_element,count,allocation,first_use,last_use,lifetime,aliasable,rollback,checkpoint,fft,mechanics,gp,condition,bytes_at_400cube,optimized_lifetime,optimization
d_ctot_history_nm1_r,float64,8,N,main_cuda.cu:30382,BDF2 context,shutdown,persistent history,no,yes,yes,no,no,no,BDF2,512000000,persistent history,retained
d_phi_history_nm1_r,float64,8,N,main_cuda.cu:30383,BDF2 context,shutdown,persistent history,no,yes,yes,no,no,no,BDF2,512000000,persistent history,retained
d_ctot_transport_anchor_r,float64,8,N,main_cuda.cu:30384,BDF2 predictor,attempt end,attempt anchor,no,yes,no,no,no,no,BDF2,512000000,attempt anchor,retained
d_phi_transport_context_r,float64,8,N,main_cuda.cu:30385,BDF2 predictor,attempt end,attempt context,no,yes,no,no,no,no,BDF2,512000000,attempt context,retained
d_ctot_event_macro_start_r,float64,8,N,main_cuda.cu:30387,event transaction,macro commit/reject,event rollback,lazy-allocation candidate,yes,no,no,no,no,event_subcycling,512000000,not allocated on selected path,M1_LAZY_EVENT_SNAPSHOT
d_phi_event_macro_start_r,float64,8,N,main_cuda.cu:30388,event transaction,macro commit/reject,event rollback,lazy-allocation candidate,yes,no,no,no,no,event_subcycling,512000000,not allocated on selected path,M1_LAZY_EVENT_SNAPSHOT
d_Y_event_macro_start_r,float64,8,N,main_cuda.cu:30389,event transaction,macro commit/reject,event rollback,lazy-allocation candidate,yes,no,no,no,no,event_subcycling,512000000,not allocated on selected path,M1_LAZY_EVENT_SNAPSHOT
d_ctot_residual_r,float64,8,N,main_cuda.cu:30392,transport residual,attempt end,attempt scratch,shared with phase residual,no,no,no,yes,no,always,512000000,attempt scratch,retained
d_ctot_line_base_residual_r,float64,8,N,main_cuda.cu:30394,feasible direction,transport solve end,transport direction,not while trial residual is live,no,no,yes,no,no,adaptive_coordinate,512000000,transport direction,retained
d_ctot_q_alpha_r,float64,8,N,main_cuda.cu:30396,context reconstruction,attempt end,derived storage,lifetime-reuse candidate,no,no,no,no,no,always,512000000,derived storage,retained
d_ctot_active_mask_r,float64,8,N,main_cuda.cu:30397,context reconstruction,attempt end,active code,uint8 candidate,no,no,no,no,no,always,512000000,active code,retained
d_ctot_outer_C_prev_r,float64,8,N,main_cuda.cu:30398,outer iteration,attempt end,outer history,no,yes,no,no,no,no,always,512000000,not allocated on selected path,M2_SINGLE_OUTER_HISTORY_ELISION
d_ctot_outer_phi_prev_r,float64,8,N,main_cuda.cu:30399,outer iteration,attempt end,outer history,no,yes,no,no,no,no,always,512000000,not allocated on selected path,M2_SINGLE_OUTER_HISTORY_ELISION
d_ctot_outer_C_prev2_r,float64,8,N,main_cuda.cu:30400,two-cycle audit,attempt end,outer history,no,yes,no,no,no,no,always,512000000,not allocated on selected path,M2_SINGLE_OUTER_HISTORY_ELISION
d_ctot_outer_phi_prev2_r,float64,8,N,main_cuda.cu:30401,two-cycle audit,attempt end,outer history,no,yes,no,no,no,no,always,512000000,not allocated on selected path,M2_SINGLE_OUTER_HISTORY_ELISION
d_ctot_audit_stats,float64,8,12,main_cuda.cu:30424,Ctot initialization,shutdown,persistent diagnostic packet,no,no,no,no,no,no,always,96,persistent diagnostic packet,retained
d_ctot_phase_stats,float64,8,11,main_cuda.cu:30426,phase audit,shutdown,persistent diagnostic packet,no,no,no,no,no,no,always,88,persistent diagnostic packet,retained
d_ctot_phase_pdas_stats,float64,8,5,main_cuda.cu:30428,phase PDAS,shutdown,persistent diagnostic packet,no,no,no,no,no,no,always,40,persistent diagnostic packet,retained
d_ctot_phase_trial_decision,PhasePdasTrialDecisionPacket,64,1,main_cuda.cu:30436,phase line search,shutdown,persistent diagnostic packet,no,no,no,no,no,no,always,64,persistent diagnostic packet,retained
d_ctot_phase_pcg_scalars,float64,8,8,main_cuda.cu:30438,phase PCG,shutdown,persistent solver packet,no,no,no,no,no,no,always,64,persistent solver packet,retained
d_ctot_phase_pcg_packet,float64,8,2,main_cuda.cu:30440,phase PCG,shutdown,persistent solver packet,no,no,no,no,no,no,always,16,persistent solver packet,retained
d_ctot_transport_stats,float64,8,25,main_cuda.cu:30443,transport residual,shutdown,persistent diagnostic packet,no,no,no,no,no,no,always,200,persistent diagnostic packet,retained
d_ctot_fv_face_x,float64,8,N,main_cuda.cu:30448,face flux,transport audit,transport scratch,face-streaming candidate,no,no,no,no,no,always,512000000,transport scratch,retained
d_ctot_fv_face_y,float64,8,N,main_cuda.cu:30449,face flux,transport audit,transport scratch,face-streaming candidate,no,no,no,no,no,always,512000000,not allocated on selected path,M6_FACE_STREAMING
d_ctot_fv_face_z,float64,8,N,main_cuda.cu:30450,face flux,transport audit,transport scratch,face-streaming candidate,no,no,no,no,no,always,512000000,not allocated on selected path,M6_FACE_STREAMING
d_ctot_outer_face_prev_x,float64,8,N,main_cuda.cu:30452,outer flux audit,attempt end,outer flux history,recompute tradeoff only,yes,no,no,no,no,capacity_outer,512000000,not allocated on selected path,M2_SINGLE_OUTER_HISTORY_ELISION
d_ctot_outer_face_prev_y,float64,8,N,main_cuda.cu:30453,outer flux audit,attempt end,outer flux history,recompute tradeoff only,yes,no,no,no,no,capacity_outer,512000000,not allocated on selected path,M2_SINGLE_OUTER_HISTORY_ELISION
d_ctot_outer_face_prev_z,float64,8,N,main_cuda.cu:30454,outer flux audit,attempt end,outer flux history,recompute tradeoff only,yes,no,no,no,no,capacity_outer,512000000,not allocated on selected path,M2_SINGLE_OUTER_HISTORY_ELISION
d_mu_x_r,float64,8,N,main_cuda.cu:30804,thermodynamics,shutdown,shared scratch,d_Y_rhs_r,no,no,yes,no,no,always,512000000,shared scratch,retained
d_divJ_r,float64,8,N,main_cuda.cu:30808,flux divergence,shutdown,shared scratch,d_xB_prev_r,no,no,no,no,no,always,512000000,shared scratch,retained
d_scratch_r_double,float64,8,2*N,main_cuda.cu:30825,first operator,shutdown,scratch arena,two disjoint slots,no,no,yes,yes,no,always,1024000000,scratch arena,retained
d_phi_k,complex128,16,K,main_cuda.cu:30815,phase FFT,shutdown,FFT state/scratch,no,no,no,yes,no,no,always,514560000,FFT state/scratch,retained
d_phi_rhs_k,complex128,16,K,main_cuda.cu:30816,phase FFT,shutdown,FFT scratch,d_mu_x_k;d_Y_rhs_k,no,no,yes,no,no,always,514560000,FFT scratch,retained
d_Y_k,complex128,16,K,main_cuda.cu:30817,phase context FFT,shutdown,FFT scratch,lifetime-reuse candidate,no,no,yes,no,no,always,514560000,not allocated on selected path,M4_PHASE_SPECTRUM_ALIAS
d_divJ_k,complex128,16,K,main_cuda.cu:30823,legacy/spectral scratch,shutdown,FFT scratch,legacy-gated reuse candidate,no,no,yes,no,no,always,514560000,not allocated on selected path,M5_UNUSED_DERIVED_ELISION
d_scratch_k_double,complex128,16,K,main_cuda.cu:30824,first FFT operator,shutdown,FFT scratch arena,single shared slot,no,no,yes,yes,no,always,514560000,FFT scratch arena,retained
KS.d_k2,float64,8,K,cuda_common.cu:94,k-space build,shutdown,FFT coefficient,no,no,no,yes,no,no,always,257280000,FFT coefficient,retained
KS.d_k4,float64,8,K,cuda_common.cu:95,k-space build,shutdown,FFT coefficient,legacy-only removal candidate,no,no,yes,no,no,always,257280000,not allocated on selected path,M5_UNUSED_DERIVED_ELISION
phase_trial_block_summaries,uint64x7,56,ceil(N/256),main_cuda.cu:30433,phase line search,shutdown,reduction scratch,no,no,no,no,no,no,always,14000000,reduction scratch,retained
reduction_workspace_a,float64,8,ceil(N/256),cuda_kernels.cu:6423,first reduction,shutdown,reduction scratch,global shared workspace,no,no,no,no,no,always,2000000,reduction scratch,retained
reduction_workspace_b,float64,8,ceil(ceil(N/256)/256),cuda_kernels.cu:6429,first reduction,shutdown,reduction scratch,global shared workspace,no,no,no,no,no,always,7816,reduction scratch,retained
reduction_workspace_zero,float64,8,1,cuda_kernels.cu:6434,first reduction,shutdown,reduction scalar,global shared workspace,no,no,no,no,no,always,8,reduction scalar,retained
elastic_strain_stress,float32,4,12*N,main_cuda.cu:30920-30932,mechanics,shutdown,mechanical state/scratch,no,yes,no,yes,yes,no,elastic,3072000000,mechanical state/scratch,retained
mechanical_force,float32,4,N,main_cuda.cu:30949,mechanical audit,shutdown,mechanical scratch,no,no,no,no,yes,no,elastic,256000000,mechanical scratch,retained
mechanical_transaction_real,float32,4,30*N,main_cuda.cu:30956-30960,mechanical transaction,shutdown,mechanical accepted/trial/history,no,yes,no,no,yes,no,elastic,7680000000,mechanical accepted/trial/history,retained
elastic_base_spectra,complex64,8,9*K,main_cuda.cu:30938-30946,mechanics FFT,shutdown,mechanical FFT scratch,no,no,no,yes,yes,no,elastic,2315520000,mechanical FFT scratch,retained
mechanical_transaction_spectra,complex64,8,9*K,main_cuda.cu:30951-30953,mechanical transaction,shutdown,mechanical FFT history,no,yes,no,yes,yes,no,elastic,2315520000,mechanical FFT history,retained
