allocation_call_id,call_kind,source_file,source_line,source_expression,active_path_classification
SRC0018,DEVICE_FREE,main_cuda.cu,17816,CUDA_CHECK(cudaFree(d_centers));      // ========= D4) 再检查一次实际的 <xB> 和 <xB_tot> =========,CONDITIONAL_OR_NON_PF_PATH
SRC0019,DEVICE_ALLOC,main_cuda.cu,17956,"CUDA_CHECK(cudaMalloc(&d_centers, centers_bytes));     CUDA_CHECK(cudaMemcpy(d_centers, centers, centers_bytes, cudaMemcpyHostToDevice));     if (rot_mats) {",CONDITIONAL_OR_NON_PF_PATH
SRC0020,DEVICE_ALLOC,main_cuda.cu,17960,"CUDA_CHECK(cudaMalloc(&d_rot_mats, rot_bytes));         CUDA_CHECK(cudaMemcpy(d_rot_mats, rot_mats, rot_bytes, cudaMemcpyHostToDevice));     }",CONDITIONAL_OR_NON_PF_PATH
SRC0021,DEVICE_ALLOC,main_cuda.cu,17963,"CUDA_CHECK(cudaMalloc(&d_phi_tmp, size_r));      int threads = 256;",CONDITIONAL_OR_NON_PF_PATH
SRC0022,DEVICE_FREE,main_cuda.cu,18005,CUDA_CHECK(cudaFree(d_phi_tmp));     if (d_rot_mats) CUDA_CHECK(cudaFree(d_rot_mats));     CUDA_CHECK(cudaFree(d_centers));,CONDITIONAL_OR_NON_PF_PATH
SRC0023,DEVICE_FREE,main_cuda.cu,18006,if (d_rot_mats) CUDA_CHECK(cudaFree(d_rot_mats));     CUDA_CHECK(cudaFree(d_centers));,CONDITIONAL_OR_NON_PF_PATH
SRC0024,DEVICE_FREE,main_cuda.cu,18007,CUDA_CHECK(cudaFree(d_centers));      double sum_h = 0.0;,CONDITIONAL_OR_NON_PF_PATH
SRC0025,DEVICE_ALLOC,main_cuda.cu,19165,"CUDA_CHECK(cudaMalloc(&d_gel_hat, (size_t)total_r * sizeof(double)));     launch_compute_gel_density_kernel(         d_uxx_r, d_uyy_r, d_uzz_r,",CONDITIONAL_OR_NON_PF_PATH
SRC0026,DEVICE_FREE,main_cuda.cu,19182,CUDA_CHECK(cudaFree(d_gel_hat));     out.sum_gel = sum_gel;,CONDITIONAL_OR_NON_PF_PATH
SRC0027,DEVICE_ALLOC,main_cuda.cu,29918,"CUDA_CHECK(cudaMalloc(&d_temp, size_r));      if (P.mode == 0 && !P.ctot_benchmark_suppress_field_output) {",CONDITIONAL_OR_NON_PF_PATH
SRC0028,DEVICE_ALLOC,main_cuda.cu,29991,"CUDA_CHECK(cudaMalloc(&d_phi_temp, size_r));         CUDA_CHECK(cudaMalloc(&d_xB_temp, size_r));         CUDA_CHECK(cudaMalloc(&d_delta_mu_r_init, size_r));",CONDITIONAL_OR_NON_PF_PATH
SRC0029,DEVICE_ALLOC,main_cuda.cu,29992,"CUDA_CHECK(cudaMalloc(&d_xB_temp, size_r));         CUDA_CHECK(cudaMalloc(&d_delta_mu_r_init, size_r));",CONDITIONAL_OR_NON_PF_PATH
SRC0030,DEVICE_ALLOC,main_cuda.cu,29993,"CUDA_CHECK(cudaMalloc(&d_delta_mu_r_init, size_r));          CUDA_CHECK(cudaMemcpy(d_phi_temp, h_phi_r, size_r, cudaMemcpyHostToDevice));",CONDITIONAL_OR_NON_PF_PATH
SRC0031,DEVICE_FREE,main_cuda.cu,30007,CUDA_CHECK(cudaFree(d_phi_temp));         CUDA_CHECK(cudaFree(d_xB_temp));         CUDA_CHECK(cudaFree(d_delta_mu_r_init));,CONDITIONAL_OR_NON_PF_PATH
SRC0032,DEVICE_FREE,main_cuda.cu,30008,CUDA_CHECK(cudaFree(d_xB_temp));         CUDA_CHECK(cudaFree(d_delta_mu_r_init));,CONDITIONAL_OR_NON_PF_PATH
SRC0033,DEVICE_FREE,main_cuda.cu,30009,CUDA_CHECK(cudaFree(d_delta_mu_r_init));          // 计算并输出初始f_phi_chem和dgel_dphi VTK文件,CONDITIONAL_OR_NON_PF_PATH
SRC0034,DEVICE_ALLOC,main_cuda.cu,30015,"CUDA_CHECK(cudaMalloc(&d_f_phi_chem_init, size_r));         CUDA_CHECK(cudaMalloc(&d_dgel_dphi_init, size_r));",CONDITIONAL_OR_NON_PF_PATH
SRC0035,DEVICE_ALLOC,main_cuda.cu,30016,"CUDA_CHECK(cudaMalloc(&d_dgel_dphi_init, size_r));          // 如果启用弹性，需要临时分配应力场和应变数组（初始时均为0）",CONDITIONAL_OR_NON_PF_PATH
SRC0036,DEVICE_ALLOC,main_cuda.cu,30026,"CUDA_CHECK(cudaMalloc(&d_sigma_init_xx, size_r_float));             CUDA_CHECK(cudaMalloc(&d_sigma_init_yy, size_r_float));             CUDA_CHECK(cudaMalloc(&d_sigma_init_zz, size_r_float));",CONDITIONAL_OR_NON_PF_PATH
SRC0037,DEVICE_ALLOC,main_cuda.cu,30027,"CUDA_CHECK(cudaMalloc(&d_sigma_init_yy, size_r_float));             CUDA_CHECK(cudaMalloc(&d_sigma_init_zz, size_r_float));             CUDA_CHECK(cudaMalloc(&d_sigma_init_xy, size_r_float));",CONDITIONAL_OR_NON_PF_PATH
SRC0038,DEVICE_ALLOC,main_cuda.cu,30028,"CUDA_CHECK(cudaMalloc(&d_sigma_init_zz, size_r_float));             CUDA_CHECK(cudaMalloc(&d_sigma_init_xy, size_r_float));             CUDA_CHECK(cudaMalloc(&d_sigma_init_xz, size_r_float));",CONDITIONAL_OR_NON_PF_PATH
SRC0039,DEVICE_ALLOC,main_cuda.cu,30029,"CUDA_CHECK(cudaMalloc(&d_sigma_init_xy, size_r_float));             CUDA_CHECK(cudaMalloc(&d_sigma_init_xz, size_r_float));             CUDA_CHECK(cudaMalloc(&d_sigma_init_yz, size_r_float));",CONDITIONAL_OR_NON_PF_PATH
SRC0040,DEVICE_ALLOC,main_cuda.cu,30030,"CUDA_CHECK(cudaMalloc(&d_sigma_init_xz, size_r_float));             CUDA_CHECK(cudaMalloc(&d_sigma_init_yz, size_r_float));             CUDA_CHECK(cudaMalloc(&d_uxx_init_r, size_r_float));",CONDITIONAL_OR_NON_PF_PATH
SRC0041,DEVICE_ALLOC,main_cuda.cu,30031,"CUDA_CHECK(cudaMalloc(&d_sigma_init_yz, size_r_float));             CUDA_CHECK(cudaMalloc(&d_uxx_init_r, size_r_float));             CUDA_CHECK(cudaMalloc(&d_uyy_init_r, size_r_float));",CONDITIONAL_OR_NON_PF_PATH
SRC0042,DEVICE_ALLOC,main_cuda.cu,30032,"CUDA_CHECK(cudaMalloc(&d_uxx_init_r, size_r_float));             CUDA_CHECK(cudaMalloc(&d_uyy_init_r, size_r_float));             CUDA_CHECK(cudaMalloc(&d_uzz_init_r, size_r_float));",CONDITIONAL_OR_NON_PF_PATH
SRC0043,DEVICE_ALLOC,main_cuda.cu,30033,"CUDA_CHECK(cudaMalloc(&d_uyy_init_r, size_r_float));             CUDA_CHECK(cudaMalloc(&d_uzz_init_r, size_r_float));             CUDA_CHECK(cudaMalloc(&d_uxy_init_r, size_r_float));",CONDITIONAL_OR_NON_PF_PATH
SRC0044,DEVICE_ALLOC,main_cuda.cu,30034,"CUDA_CHECK(cudaMalloc(&d_uzz_init_r, size_r_float));             CUDA_CHECK(cudaMalloc(&d_uxy_init_r, size_r_float));             CUDA_CHECK(cudaMalloc(&d_uxz_init_r, size_r_float));",CONDITIONAL_OR_NON_PF_PATH
SRC0045,DEVICE_ALLOC,main_cuda.cu,30035,"CUDA_CHECK(cudaMalloc(&d_uxy_init_r, size_r_float));             CUDA_CHECK(cudaMalloc(&d_uxz_init_r, size_r_float));             CUDA_CHECK(cudaMalloc(&d_uyz_init_r, size_r_float));",CONDITIONAL_OR_NON_PF_PATH
SRC0046,DEVICE_ALLOC,main_cuda.cu,30036,"CUDA_CHECK(cudaMalloc(&d_uxz_init_r, size_r_float));             CUDA_CHECK(cudaMalloc(&d_uyz_init_r, size_r_float));             // Optimization(4): d_uxx0_init_r..d_uyz0_init_r 的分配已移除",CONDITIONAL_OR_NON_PF_PATH
SRC0047,DEVICE_ALLOC,main_cuda.cu,30037,"CUDA_CHECK(cudaMalloc(&d_uyz_init_r, size_r_float));             // Optimization(4): d_uxx0_init_r..d_uyz0_init_r 的分配已移除             CUDA_CHECK(cudaMemset(d_sigma_init_xx, 0, size_r_float));",CONDITIONAL_OR_NON_PF_PATH
SRC0048,DEVICE_ALLOC,main_cuda.cu,30055,"CUDA_CHECK(cudaMalloc(&d_phi_temp, size_r));         CUDA_CHECK(cudaMalloc(&d_xB_temp, size_r));         CUDA_CHECK(cudaMemcpy(d_phi_temp, h_phi_r, size_r, cudaMemcpyHostToDevice));",CONDITIONAL_OR_NON_PF_PATH
SRC0049,DEVICE_ALLOC,main_cuda.cu,30056,"CUDA_CHECK(cudaMalloc(&d_xB_temp, size_r));         CUDA_CHECK(cudaMemcpy(d_phi_temp, h_phi_r, size_r, cudaMemcpyHostToDevice));         CUDA_CHECK(cudaMemcpy(d_xB_temp, h_xB_r, size_r, cudaMemcpyHostToDevice));",CONDITIONAL_OR_NON_PF_PATH
SRC0050,DEVICE_FREE,main_cuda.cu,30090,CUDA_CHECK(cudaFree(d_f_phi_chem_init));         CUDA_CHECK(cudaFree(d_dgel_dphi_init));         CUDA_CHECK(cudaFree(d_phi_temp));,CONDITIONAL_OR_NON_PF_PATH
SRC0051,DEVICE_FREE,main_cuda.cu,30091,CUDA_CHECK(cudaFree(d_dgel_dphi_init));         CUDA_CHECK(cudaFree(d_phi_temp));         CUDA_CHECK(cudaFree(d_xB_temp));,CONDITIONAL_OR_NON_PF_PATH
SRC0052,DEVICE_FREE,main_cuda.cu,30092,CUDA_CHECK(cudaFree(d_phi_temp));         CUDA_CHECK(cudaFree(d_xB_temp));         // 释放临时应力场和应变数组,CONDITIONAL_OR_NON_PF_PATH
SRC0053,DEVICE_FREE,main_cuda.cu,30093,CUDA_CHECK(cudaFree(d_xB_temp));         // 释放临时应力场和应变数组         if (P.elastic_enabled) {,CONDITIONAL_OR_NON_PF_PATH
SRC0054,DEVICE_FREE,main_cuda.cu,30096,CUDA_CHECK(cudaFree(d_sigma_init_xx));             CUDA_CHECK(cudaFree(d_sigma_init_yy));             CUDA_CHECK(cudaFree(d_sigma_init_zz));,CONDITIONAL_OR_NON_PF_PATH
SRC0055,DEVICE_FREE,main_cuda.cu,30097,CUDA_CHECK(cudaFree(d_sigma_init_yy));             CUDA_CHECK(cudaFree(d_sigma_init_zz));             CUDA_CHECK(cudaFree(d_sigma_init_xy));,CONDITIONAL_OR_NON_PF_PATH
SRC0056,DEVICE_FREE,main_cuda.cu,30098,CUDA_CHECK(cudaFree(d_sigma_init_zz));             CUDA_CHECK(cudaFree(d_sigma_init_xy));             CUDA_CHECK(cudaFree(d_sigma_init_xz));,CONDITIONAL_OR_NON_PF_PATH
SRC0057,DEVICE_FREE,main_cuda.cu,30099,CUDA_CHECK(cudaFree(d_sigma_init_xy));             CUDA_CHECK(cudaFree(d_sigma_init_xz));             CUDA_CHECK(cudaFree(d_sigma_init_yz));,CONDITIONAL_OR_NON_PF_PATH
SRC0058,DEVICE_FREE,main_cuda.cu,30100,CUDA_CHECK(cudaFree(d_sigma_init_xz));             CUDA_CHECK(cudaFree(d_sigma_init_yz));             CUDA_CHECK(cudaFree(d_uxx_init_r));,CONDITIONAL_OR_NON_PF_PATH
SRC0059,DEVICE_FREE,main_cuda.cu,30101,CUDA_CHECK(cudaFree(d_sigma_init_yz));             CUDA_CHECK(cudaFree(d_uxx_init_r));             CUDA_CHECK(cudaFree(d_uyy_init_r));,CONDITIONAL_OR_NON_PF_PATH
SRC0060,DEVICE_FREE,main_cuda.cu,30102,CUDA_CHECK(cudaFree(d_uxx_init_r));             CUDA_CHECK(cudaFree(d_uyy_init_r));             CUDA_CHECK(cudaFree(d_uzz_init_r));,CONDITIONAL_OR_NON_PF_PATH
SRC0061,DEVICE_FREE,main_cuda.cu,30103,CUDA_CHECK(cudaFree(d_uyy_init_r));             CUDA_CHECK(cudaFree(d_uzz_init_r));             CUDA_CHECK(cudaFree(d_uxy_init_r));,CONDITIONAL_OR_NON_PF_PATH
SRC0062,DEVICE_FREE,main_cuda.cu,30104,CUDA_CHECK(cudaFree(d_uzz_init_r));             CUDA_CHECK(cudaFree(d_uxy_init_r));             CUDA_CHECK(cudaFree(d_uxz_init_r));,CONDITIONAL_OR_NON_PF_PATH
SRC0063,DEVICE_FREE,main_cuda.cu,30105,CUDA_CHECK(cudaFree(d_uxy_init_r));             CUDA_CHECK(cudaFree(d_uxz_init_r));             CUDA_CHECK(cudaFree(d_uyz_init_r));,CONDITIONAL_OR_NON_PF_PATH
SRC0064,DEVICE_FREE,main_cuda.cu,30106,CUDA_CHECK(cudaFree(d_uxz_init_r));             CUDA_CHECK(cudaFree(d_uyz_init_r));             // Optimization(4): d_uxx0_init_r..d_uyz0_init_r 的释放已移除,CONDITIONAL_OR_NON_PF_PATH
SRC0065,DEVICE_FREE,main_cuda.cu,30107,CUDA_CHECK(cudaFree(d_uyz_init_r));             // Optimization(4): d_uxx0_init_r..d_uyz0_init_r 的释放已移除         },CONDITIONAL_OR_NON_PF_PATH
SRC0066,DEVICE_FREE,main_cuda.cu,30140,CUDA_CHECK(cudaFree(d_temp));      // 输出t=0的诊断统计（需要在GPU内存分配后进行）,CONDITIONAL_OR_NON_PF_PATH
SRC0067,DEVICE_ALLOC,main_cuda.cu,30146,"CUDA_CHECK(cudaMalloc(&d_bbox_mins, 3 * sizeof(int)));     CUDA_CHECK(cudaMalloc(&d_bbox_maxs, 3 * sizeof(int)));     CUDA_CHECK(cudaMalloc(&d_boundary_sum, sizeof(double)));",PF_LEDGER_DETAILED
SRC0068,DEVICE_ALLOC,main_cuda.cu,30147,"CUDA_CHECK(cudaMalloc(&d_bbox_maxs, 3 * sizeof(int)));     CUDA_CHECK(cudaMalloc(&d_boundary_sum, sizeof(double)));     CUDA_CHECK(cudaMalloc(&d_boundary_count, sizeof(unsigned long long)));",PF_LEDGER_DETAILED
SRC0069,DEVICE_ALLOC,main_cuda.cu,30148,"CUDA_CHECK(cudaMalloc(&d_boundary_sum, sizeof(double)));     CUDA_CHECK(cudaMalloc(&d_boundary_count, sizeof(unsigned long long)));",PF_LEDGER_DETAILED
SRC0070,DEVICE_ALLOC,main_cuda.cu,30149,"CUDA_CHECK(cudaMalloc(&d_boundary_count, sizeof(unsigned long long)));      /*",PF_LEDGER_DETAILED
SRC0071,DEVICE_ALLOC,main_cuda.cu,30438,"CUDA_CHECK(cudaMalloc(&d_phi_r, size_r));     CUDA_CHECK(cudaMalloc(&d_Y_r, size_r));     CUDA_CHECK(cudaMalloc(&d_xB_r, size_r));",PF_LEDGER_DETAILED
SRC0072,DEVICE_ALLOC,main_cuda.cu,30439,"CUDA_CHECK(cudaMalloc(&d_Y_r, size_r));     CUDA_CHECK(cudaMalloc(&d_xB_r, size_r));     CUDA_CHECK(cudaMalloc(&d_phi_rhs_r, size_r));",PF_LEDGER_DETAILED
SRC0073,DEVICE_ALLOC,main_cuda.cu,30440,"CUDA_CHECK(cudaMalloc(&d_xB_r, size_r));     CUDA_CHECK(cudaMalloc(&d_phi_rhs_r, size_r));     CUDA_CHECK(cudaMalloc(&d_phi_n_saved, size_r));",PF_LEDGER_DETAILED
SRC0074,DEVICE_ALLOC,main_cuda.cu,30441,"CUDA_CHECK(cudaMalloc(&d_phi_rhs_r, size_r));     CUDA_CHECK(cudaMalloc(&d_phi_n_saved, size_r));     if (!ctot_derived_Y_snapshot_elision_runtime)",PF_LEDGER_DETAILED
SRC0075,DEVICE_ALLOC,main_cuda.cu,30442,"CUDA_CHECK(cudaMalloc(&d_phi_n_saved, size_r));     if (!ctot_derived_Y_snapshot_elision_runtime)         CUDA_CHECK(cudaMalloc(&d_Y_n_saved, size_r));",PF_LEDGER_DETAILED
SRC0076,DEVICE_ALLOC,main_cuda.cu,30444,"CUDA_CHECK(cudaMalloc(&d_Y_n_saved, size_r));     if (!ctot_candidate_runtime) {         CUDA_CHECK(cudaMalloc(&d_dY_dt_prev_r, size_r));",PF_LEDGER_DETAILED
SRC0077,DEVICE_ALLOC,main_cuda.cu,30446,"CUDA_CHECK(cudaMalloc(&d_dY_dt_prev_r, size_r));         CUDA_CHECK(cudaMalloc(&d_dY_dt_picard_r, size_r));         CUDA_CHECK(cudaMalloc(&d_dY_dt_picard_old_r, size_r));",CONDITIONAL_OR_NON_PF_PATH
SRC0078,DEVICE_ALLOC,main_cuda.cu,30447,"CUDA_CHECK(cudaMalloc(&d_dY_dt_picard_r, size_r));         CUDA_CHECK(cudaMalloc(&d_dY_dt_picard_old_r, size_r));     }",CONDITIONAL_OR_NON_PF_PATH
SRC0079,DEVICE_ALLOC,main_cuda.cu,30448,"CUDA_CHECK(cudaMalloc(&d_dY_dt_picard_old_r, size_r));     }     if (ctot_candidate_runtime) {",CONDITIONAL_OR_NON_PF_PATH
SRC0080,DEVICE_ALLOC,main_cuda.cu,30451,"CUDA_CHECK(cudaMalloc(&d_ctot_accepted_r, size_r));         CUDA_CHECK(cudaMalloc(&d_ctot_work_r, size_r));         CUDA_CHECK(cudaMalloc(&d_ctot_saved_r, size_r));",PF_LEDGER_DETAILED
SRC0081,DEVICE_ALLOC,main_cuda.cu,30452,"CUDA_CHECK(cudaMalloc(&d_ctot_work_r, size_r));         CUDA_CHECK(cudaMalloc(&d_ctot_saved_r, size_r));         CUDA_CHECK(cudaMalloc(&d_ctot_trial_r, size_r));",PF_LEDGER_DETAILED
SRC0082,DEVICE_ALLOC,main_cuda.cu,30453,"CUDA_CHECK(cudaMalloc(&d_ctot_saved_r, size_r));         CUDA_CHECK(cudaMalloc(&d_ctot_trial_r, size_r));         if (ctot_imex_bdf2_v1_runtime) {",PF_LEDGER_DETAILED
SRC0083,DEVICE_ALLOC,main_cuda.cu,30454,"CUDA_CHECK(cudaMalloc(&d_ctot_trial_r, size_r));         if (ctot_imex_bdf2_v1_runtime) {             CUDA_CHECK(cudaMalloc(&d_ctot_history_nm1_r, size_r));",PF_LEDGER_DETAILED
SRC0084,DEVICE_ALLOC,main_cuda.cu,30456,"CUDA_CHECK(cudaMalloc(&d_ctot_history_nm1_r, size_r));             CUDA_CHECK(cudaMalloc(&d_phi_history_nm1_r, size_r));             CUDA_CHECK(cudaMalloc(&d_ctot_transport_anchor_r, size_r));",PF_LEDGER_DETAILED
SRC0085,DEVICE_ALLOC,main_cuda.cu,30457,"CUDA_CHECK(cudaMalloc(&d_phi_history_nm1_r, size_r));             CUDA_CHECK(cudaMalloc(&d_ctot_transport_anchor_r, size_r));             CUDA_CHECK(cudaMalloc(&d_phi_transport_context_r, size_r));",PF_LEDGER_DETAILED
SRC0086,DEVICE_ALLOC,main_cuda.cu,30458,"CUDA_CHECK(cudaMalloc(&d_ctot_transport_anchor_r, size_r));             CUDA_CHECK(cudaMalloc(&d_phi_transport_context_r, size_r));             if (P.bdf2_event_be_subcycling_v1 &&",PF_LEDGER_DETAILED
SRC0087,DEVICE_ALLOC,main_cuda.cu,30459,"CUDA_CHECK(cudaMalloc(&d_phi_transport_context_r, size_r));             if (P.bdf2_event_be_subcycling_v1 &&                 !ctot_lazy_event_snapshot_runtime) {",PF_LEDGER_DETAILED
SRC0088,DEVICE_ALLOC,main_cuda.cu,30462,"CUDA_CHECK(cudaMalloc(&d_ctot_event_macro_start_r, size_r));                 CUDA_CHECK(cudaMalloc(&d_phi_event_macro_start_r, size_r));                 if (!ctot_derived_Y_snapshot_elision_runtime)",PF_LEDGER_DETAILED
SRC0089,DEVICE_ALLOC,main_cuda.cu,30463,"CUDA_CHECK(cudaMalloc(&d_phi_event_macro_start_r, size_r));                 if (!ctot_derived_Y_snapshot_elision_runtime)                     CUDA_CHECK(cudaMalloc(&d_Y_event_macro_start_r, size_r));",PF_LEDGER_DETAILED
SRC0090,DEVICE_ALLOC,main_cuda.cu,30465,"CUDA_CHECK(cudaMalloc(&d_Y_event_macro_start_r, size_r));             }         }",PF_LEDGER_DETAILED
SRC0091,DEVICE_ALLOC,main_cuda.cu,30468,"CUDA_CHECK(cudaMalloc(&d_ctot_residual_r, size_r));         if (ctot_adaptive_feasible_storage_enabled) {             CUDA_CHECK(cudaMalloc(&d_ctot_line_base_residual_r, size_r));",PF_LEDGER_DETAILED
SRC0092,DEVICE_ALLOC,main_cuda.cu,30470,"CUDA_CHECK(cudaMalloc(&d_ctot_line_base_residual_r, size_r));         }         CUDA_CHECK(cudaMalloc(&d_ctot_q_alpha_r, size_r));",PF_LEDGER_DETAILED
SRC0093,DEVICE_ALLOC,main_cuda.cu,30472,"CUDA_CHECK(cudaMalloc(&d_ctot_q_alpha_r, size_r));         CUDA_CHECK(cudaMalloc(&d_ctot_active_mask_r, size_r));         if (!ctot_single_outer_history_elision_runtime) {",PF_LEDGER_DETAILED
SRC0094,DEVICE_ALLOC,main_cuda.cu,30473,"CUDA_CHECK(cudaMalloc(&d_ctot_active_mask_r, size_r));         if (!ctot_single_outer_history_elision_runtime) {             CUDA_CHECK(cudaMalloc(&d_ctot_outer_C_prev_r, size_r));",PF_LEDGER_DETAILED
SRC0095,DEVICE_ALLOC,main_cuda.cu,30475,"CUDA_CHECK(cudaMalloc(&d_ctot_outer_C_prev_r, size_r));             CUDA_CHECK(cudaMalloc(&d_ctot_outer_phi_prev_r, size_r));             CUDA_CHECK(cudaMalloc(&d_ctot_outer_C_prev2_r, size_r));",PF_LEDGER_DETAILED
SRC0096,DEVICE_ALLOC,main_cuda.cu,30476,"CUDA_CHECK(cudaMalloc(&d_ctot_outer_phi_prev_r, size_r));             CUDA_CHECK(cudaMalloc(&d_ctot_outer_C_prev2_r, size_r));             CUDA_CHECK(cudaMalloc(&d_ctot_outer_phi_prev2_r, size_r));",PF_LEDGER_DETAILED
SRC0097,DEVICE_ALLOC,main_cuda.cu,30477,"CUDA_CHECK(cudaMalloc(&d_ctot_outer_C_prev2_r, size_r));             CUDA_CHECK(cudaMalloc(&d_ctot_outer_phi_prev2_r, size_r));         }",PF_LEDGER_DETAILED
SRC0098,DEVICE_ALLOC,main_cuda.cu,30478,"CUDA_CHECK(cudaMalloc(&d_ctot_outer_phi_prev2_r, size_r));         }         if (ctot_outer_acceleration_buffers_runtime) {",PF_LEDGER_DETAILED
SRC0099,DEVICE_ALLOC,main_cuda.cu,30481,"CUDA_CHECK(cudaMalloc(&d_ctot_outer_C_increment_prev_r, size_r));             CUDA_CHECK(cudaMalloc(&d_ctot_outer_C_increment_current_r, size_r));             CUDA_CHECK(cudaMalloc(&d_ctot_outer_phi_increment_prev_r, size_r));",CONDITIONAL_OR_NON_PF_PATH
SRC0100,DEVICE_ALLOC,main_cuda.cu,30482,"CUDA_CHECK(cudaMalloc(&d_ctot_outer_C_increment_current_r, size_r));             CUDA_CHECK(cudaMalloc(&d_ctot_outer_phi_increment_prev_r, size_r));             CUDA_CHECK(cudaMalloc(&d_ctot_outer_phi_increment_current_r, size_r));",CONDITIONAL_OR_NON_PF_PATH
