branch,host_mode,matrix_xAg,number_density_m-3,small_radius_nm,large_length_nm,large_AR,large_radius_definition,kappa_300K_W_mK,identity
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.700000000000001,,,,2.362581392459774,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.750000000000001,,,,2.362570616216488,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.8000000000000012,,,,2.36255864249759,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.8500000000000012,,,,2.362545400937266,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.9000000000000012,,,,2.3625308214980327,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.9500000000000013,,,,2.3625148345011695,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.0000000000000013,,,,2.362497370634661,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.0500000000000016,,,,2.3624783609446975,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.1000000000000014,,,,2.3624577368158777,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.1500000000000012,,,,2.3624354299443318,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.2000000000000015,,,,2.3624113723071067,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.2500000000000018,,,,2.3623854961302957,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.3000000000000016,,,,2.362357733857729,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.3500000000000014,,,,2.3623280181214437,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.4000000000000017,,,,2.3622962817147095,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.450000000000002,,,,2.3622624575680184,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.5000000000000018,,,,2.362226478728211,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.5500000000000016,,,,2.362188278340708,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.600000000000002,,,,2.36214778963473,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.650000000000002,,,,2.362104945911265,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.700000000000002,,,,2.3620596805335583,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.7500000000000018,,,,2.362011926919835,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.800000000000002,,,,2.3619616185380004,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.8500000000000023,,,,2.361908688902056,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.900000000000002,,,,2.3618530715699997,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,2.950000000000002,,,,2.361794700142988,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.000000000000002,,,,2.3617335082655804,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.0500000000000025,,,,2.361669429626882,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.1000000000000023,,,,2.36160239796246,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.150000000000002,,,,2.3615323470568828,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.2000000000000024,,,,2.3614592107468013,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.2500000000000027,,,,2.3613829229244656,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.3000000000000025,,,,2.361303417541604,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.3500000000000023,,,,2.3612206286136095,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.4000000000000026,,,,2.3611344902239724,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.450000000000003,,,,2.3610449365289243,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.5000000000000027,,,,2.3609519017622542,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.5500000000000025,,,,2.3608553202402685,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.6000000000000028,,,,2.360755126366879,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.650000000000003,,,,2.3606512546387948,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.700000000000003,,,,2.360543639650808,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.7500000000000027,,,,2.360432216101158,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.800000000000003,,,,2.3603169187969777,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.850000000000003,,,,2.360197682659801,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.900000000000003,,,,2.3600744427311433,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,3.950000000000003,,,,2.3599471341781406,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.0000000000000036,,,,2.35981569229925,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.050000000000003,,,,2.3596800525300177,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.100000000000003,,,,2.3595401504488995,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.150000000000003,,,,2.359395921783157,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.200000000000003,,,,2.3592473024148046,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.2500000000000036,,,,2.3590942283866307,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.300000000000003,,,,2.3589366359082886,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.350000000000003,,,,2.358774461362449,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.400000000000004,,,,2.3586076413110315,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.450000000000004,,,,2.3584361125015065,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.5000000000000036,,,,2.3582598118732734,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.550000000000003,,,,2.358078676564119,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.600000000000003,,,,2.3578926439167507,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.650000000000004,,,,2.3577016514854194,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.700000000000004,,,,2.3575056370426175,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.7500000000000036,,,,2.3573045385858653,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.800000000000004,,,,2.3570982943445875,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.850000000000004,,,,2.356886842787071,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.900000000000004,,,,2.3566701226275177,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,4.950000000000004,,,,2.356448072833185,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.0000000000000036,,,,2.356220632631616,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.050000000000004,,,,2.3559877415179655,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.100000000000004,,,,2.3557493392624167,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.150000000000004,,,,2.355505365917691,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.200000000000005,,,,2.3552557618266543,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.250000000000004,,,,2.3550004676300125,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.300000000000004,,,,2.3547394242741055,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.350000000000004,,,,2.354472573018794,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.400000000000004,,,,2.354199855445442,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.450000000000005,,,,2.3539212134649885,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.500000000000004,,,,2.35363658932612,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.550000000000004,,,,2.3533459256235294,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.600000000000005,,,,2.353049165306271,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.650000000000005,,,,2.352746251686206,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.700000000000005,,,,2.3524371284465375,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.750000000000004,,,,2.352121739650442,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.800000000000004,,,,2.3518000297497768,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.850000000000005,,,,2.3514719435938876,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.900000000000005,,,,2.351137426438495,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,5.950000000000005,,,,2.3507964239546695,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.000000000000005,,,,2.35044888223788,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.050000000000005,,,,2.3500947478171423,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.100000000000005,,,,2.3497339676642253,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.150000000000005,,,,2.349366489202948,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.200000000000005,,,,2.348992260318551,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.250000000000005,,,,2.3486112293671333,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.300000000000005,,,,2.3482233451851706,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.350000000000005,,,,2.3478285570990916,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.400000000000006,,,,2.347426814934926,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.4500000000000055,,,,2.347018069028017,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.500000000000005,,,,2.346602270232788,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.550000000000005,,,,2.3461793699325697,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.600000000000005,,,,2.3457493200494866,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.650000000000006,,,,2.3453120730543864,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.7000000000000055,,,,2.34486758197682,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.750000000000005,,,,2.3444158004150712,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.800000000000006,,,,2.343956682546223,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.850000000000006,,,,2.3434901831362596,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.900000000000006,,,,2.343016257550208,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,6.9500000000000055,,,,2.342534861762305,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.000000000000005,,,,2.3420459523661954,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.050000000000006,,,,2.3415494865851447,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.100000000000006,,,,2.3410454222822787,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.150000000000006,,,,2.3405337179708345,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.200000000000006,,,,2.340014332824414,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.250000000000006,,,,2.3394872266872526,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.300000000000006,,,,2.338952360084486,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.350000000000006,,,,2.3384096942324066,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.400000000000006,,,,2.3378591910487208,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.450000000000006,,,,2.3373008131627855,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.500000000000006,,,,2.3367345239258306,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.550000000000006,,,,2.336160287421156,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.600000000000007,,,,2.335578068474301,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.650000000000007,,,,2.3349878326631814,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.700000000000006,,,,2.3343895463281843,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,7.750000000000006,,,,2.333783176582222,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
