path,reason,tracked/untracked,recoverable_from_git,duplicate_of,referenced_by,scientific_risk
reports/data/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/data/step38j_eta_S218b_scan/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/figures/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/gp_post_birth_update_debug/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/nucleus_library_workflow/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/post_handoff_seed_stability_after_xB_writeback_fix/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/queue_restart_policy/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/resolved_beta_growth_remediation/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_bootlocale.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_collections_abc.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_sitebuiltins.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_weakrefset.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/abc.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/codecs.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/collections/__init__.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/collections/abc.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/contextlib.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copyreg.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/encodings/__init__.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/encodings/aliases.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/encodings/cp437.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/encodings/latin_1.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/encodings/utf_8.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/enum.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/functools.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/genericpath.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/heapq.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/importlib/__init__.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/importlib/abc.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/importlib/machinery.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/importlib/util.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/io.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/keyword.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/linecache.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/operator.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/os.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/pkgutil.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/posixpath.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/py_compile.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/re.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/reprlib.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/runpy.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/site.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_compile.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_constants.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_parse.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/stat.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/token.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tokenize.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/traceback.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/types.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/typing.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/warnings.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/weakref.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Users/heng/Documents/GitHub/CUDA_STO_PF/tools/analysis/analyze_mass_drift_dt_scaling.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Users/heng/Documents/GitHub/CUDA_STO_PF/tools/analysis/analyze_scheduled_nucleation_drift_segments.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Users/heng/Documents/GitHub/CUDA_STO_PF/tools/analysis/compare_dt_scan_scheduled_nucleation.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Users/heng/Documents/GitHub/CUDA_STO_PF/tools/analysis/run_dt_scan_scheduled_nucleation_test.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Users/heng/Documents/GitHub/CUDA_STO_PF/tools/analysis/run_pure_dynamics_mass_drift_benchmark.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Users/heng/Documents/GitHub/CUDA_STO_PF/tools/analysis/run_scheduled_nucleation_test.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.pycache_tmp/Users/heng/Documents/GitHub/CUDA_STO_PF/tools/analysis/test_scheduled_nucleation_insertions_only.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_bootlocale.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_collections_abc.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_sitebuiltins.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_weakrefset.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/abc.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/codecs.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/collections/__init__.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/collections/abc.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/contextlib.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copyreg.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/encodings/__init__.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/encodings/aliases.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/encodings/cp437.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/encodings/latin_1.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/encodings/utf_8.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/enum.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/functools.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/genericpath.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/heapq.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/importlib/__init__.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/importlib/abc.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/importlib/machinery.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/importlib/util.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/io.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/keyword.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/linecache.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/operator.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/os.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/pkgutil.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/posixpath.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/py_compile.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/re.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/reprlib.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/runpy.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/site.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_compile.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_constants.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_parse.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/stat.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/token.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tokenize.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/traceback.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/types.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/root_archive/folders/.tmp_pycache/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/typing.cpython-39.pyc,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
