path,file_type,size,tracked_status,modified_status,generated_or_source,last_modified_time,referenced_by_code,referenced_by_report,duplicate_group,current_scientific_relevance,recommended_action,reason,confidence
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p030/input/workflow_meta.json,.json,878,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p035/input/guide_cnt_scan.csv,.csv,22737,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p035/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0424:ec8c2b11124f,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p035/input/schur_rc_predictions.csv,.csv,600,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p035/input/workflow_meta.json,.json,879,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p040/input/guide_cnt_scan.csv,.csv,22737,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p040/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0424:ec8c2b11124f,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p040/input/schur_rc_predictions.csv,.csv,600,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p040/input/workflow_meta.json,.json,878,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p045/input/guide_cnt_scan.csv,.csv,22749,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p045/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0424:ec8c2b11124f,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p045/input/schur_rc_predictions.csv,.csv,600,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p045/input/workflow_meta.json,.json,879,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p050/input/guide_cnt_scan.csv,.csv,22725,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p050/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0424:ec8c2b11124f,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p050/input/schur_rc_predictions.csv,.csv,599,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p050/input/workflow_meta.json,.json,878,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p030/input/guide_cnt_scan.csv,.csv,22683,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p030/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0127:3ecfcda9b6e9,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p030/input/schur_rc_predictions.csv,.csv,596,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p030/input/workflow_meta.json,.json,878,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p035/input/guide_cnt_scan.csv,.csv,22719,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p035/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0127:3ecfcda9b6e9,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p035/input/schur_rc_predictions.csv,.csv,600,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p035/input/workflow_meta.json,.json,879,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p040/input/guide_cnt_scan.csv,.csv,22696,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p040/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0127:3ecfcda9b6e9,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p040/input/schur_rc_predictions.csv,.csv,598,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p040/input/workflow_meta.json,.json,878,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p045/input/guide_cnt_scan.csv,.csv,22738,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p045/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0127:3ecfcda9b6e9,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p045/input/schur_rc_predictions.csv,.csv,601,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p045/input/workflow_meta.json,.json,879,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p050/input/guide_cnt_scan.csv,.csv,22725,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p050/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0127:3ecfcda9b6e9,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p050/input/schur_rc_predictions.csv,.csv,599,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T380C_xB0p050/input/workflow_meta.json,.json,878,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p030/input/guide_cnt_scan.csv,.csv,22683,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p030/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0157:4fab21df05e1,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p030/input/schur_rc_predictions.csv,.csv,596,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p030/input/workflow_meta.json,.json,878,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p035/input/guide_cnt_scan.csv,.csv,22719,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p035/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0157:4fab21df05e1,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p035/input/schur_rc_predictions.csv,.csv,599,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p035/input/workflow_meta.json,.json,879,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p040/input/guide_cnt_scan.csv,.csv,22707,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p040/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0157:4fab21df05e1,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p040/input/schur_rc_predictions.csv,.csv,598,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p040/input/workflow_meta.json,.json,878,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p045/input/guide_cnt_scan.csv,.csv,22708,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p045/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0157:4fab21df05e1,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p045/input/schur_rc_predictions.csv,.csv,600,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p045/input/workflow_meta.json,.json,879,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p050/input/guide_cnt_scan.csv,.csv,22707,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p050/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0157:4fab21df05e1,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p050/input/schur_rc_predictions.csv,.csv,597,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T410C_xB0p050/input/workflow_meta.json,.json,878,ignored,,generated,2026-06-23T13:22:27,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p030/input/guide_cnt_scan.csv,.csv,22707,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p030/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:28,yes,yes,DUP0275:8de7cad7cb57,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p030/input/schur_rc_predictions.csv,.csv,599,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p030/input/workflow_meta.json,.json,878,ignored,,generated,2026-06-23T13:22:28,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p035/input/guide_cnt_scan.csv,.csv,22719,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p035/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:28,yes,yes,DUP0275:8de7cad7cb57,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p035/input/schur_rc_predictions.csv,.csv,598,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p035/input/workflow_meta.json,.json,879,ignored,,generated,2026-06-23T13:22:28,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p040/input/guide_cnt_scan.csv,.csv,22707,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p040/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:28,yes,yes,DUP0275:8de7cad7cb57,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p040/input/schur_rc_predictions.csv,.csv,599,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p040/input/workflow_meta.json,.json,878,ignored,,generated,2026-06-23T13:22:28,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p045/input/guide_cnt_scan.csv,.csv,22719,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p045/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:28,yes,yes,DUP0275:8de7cad7cb57,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p045/input/schur_rc_predictions.csv,.csv,599,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p045/input/workflow_meta.json,.json,879,ignored,,generated,2026-06-23T13:22:28,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p050/input/guide_cnt_scan.csv,.csv,22707,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p050/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:28,yes,yes,DUP0275:8de7cad7cb57,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p050/input/schur_rc_predictions.csv,.csv,598,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T440C_xB0p050/input/workflow_meta.json,.json,878,ignored,,generated,2026-06-23T13:22:28,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T470C_xB0p030/input/guide_cnt_scan.csv,.csv,22695,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T470C_xB0p030/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:28,yes,yes,DUP0094:32d4a733a309,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T470C_xB0p030/input/schur_rc_predictions.csv,.csv,597,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T470C_xB0p030/input/workflow_meta.json,.json,878,ignored,,generated,2026-06-23T13:22:28,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T470C_xB0p035/input/guide_cnt_scan.csv,.csv,22707,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T470C_xB0p035/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:28,yes,yes,DUP0094:32d4a733a309,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T470C_xB0p035/input/schur_rc_predictions.csv,.csv,597,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T470C_xB0p035/input/workflow_meta.json,.json,879,ignored,,generated,2026-06-23T13:22:28,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T470C_xB0p040/input/guide_cnt_scan.csv,.csv,22707,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T470C_xB0p040/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:28,yes,yes,DUP0094:32d4a733a309,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T470C_xB0p040/input/schur_rc_predictions.csv,.csv,599,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T470C_xB0p040/input/workflow_meta.json,.json,878,ignored,,generated,2026-06-23T13:22:28,yes,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T470C_xB0p045/input/guide_cnt_scan.csv,.csv,22719,ignored,,generated,2026-06-23T13:22:28,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T470C_xB0p045/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:28,yes,yes,DUP0094:32d4a733a309,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
